,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
69,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,ce2728b45873fca39059915916c26578,8fb04471b9d06330,55f8b86a25ae2b88,420.0,448.0,28.0,28.0,28.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:18446744073709535406|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1336|
70,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,ce2728b45873fca39059915916c26578,bc00685a487ec4af,2634f3dc5c3a6a3a,378.0,380.0,2.0,2.0,2.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:18446744073709538185|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1024|
71,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,ce2728b45873fca39059915916c26578,53e72e6d2b8827cd,2634f3dc5c3a6a3a,264.0,267.0,3.0,3.0,3.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:1752|
72,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,e9d278042274a3e37f0424618c57ec19,9f5b57f760f4e19e,5ea8fc292c7855c3,484.0,487.0,3.0,3.0,3.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1800|
73,us-west-1,frontend,POST,/cart/checkout,e9d278042274a3e37f0424618c57ec19,cfb1a1510aa86327,7f0424618c57ec19,77.0,571.0,494.0,56.0,494.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:1640|
74,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,e9d278042274a3e37f0424618c57ec19,5ea8fc292c7855c3,cfb1a1510aa86327,91.0,514.0,423.0,406.0,423.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:2|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1624|
75,us-west-1,sslateingress,POST,/cart/checkout,e9d278042274a3e37f0424618c57ec19,7f0424618c57ec19,nan,0.0,574.0,574.0,80.0,574.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:1528|
76,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,e9d278042274a3e37f0424618c57ec19,0ac73267a373a7a8,5ea8fc292c7855c3,134.0,141.0,7.0,7.0,7.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:1568|
77,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,e9d278042274a3e37f0424618c57ec19,80266f47ec7272c5,5ea8fc292c7855c3,452.0,463.0,11.0,11.0,11.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1568|
78,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,e9d278042274a3e37f0424618c57ec19,91c4de4f3b648bd5,5ea8fc292c7855c3,363.0,369.0,6.0,6.0,6.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:1760|
79,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,e9d278042274a3e37f0424618c57ec19,2674023df26cfe11,cfb1a1510aa86327,547.0,562.0,15.0,15.0,15.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1960|
80,us-west-1,frontend,POST,/cart/checkout,2bcfdea7ed962f01ac423b949139f97b,d6c520f5d62bf2ba,ac423b949139f97b,12.0,243.0,231.0,50.0,231.0,-1,frontend@POST@/cart/checkout:2|,frontend@POST@/cart/checkout:2536|
81,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,2bcfdea7ed962f01ac423b949139f97b,a5bdec7b96fef338,abd0b4810166f8a4,65.0,74.0,9.0,9.0,9.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:2504|
82,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,2bcfdea7ed962f01ac423b949139f97b,abd0b4810166f8a4,d6c520f5d62bf2ba,33.0,193.0,160.0,156.0,160.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:3|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:2536|
